ENGLISH,ARABIC,FRENCH,CATEGORY
Slivovice,مشروب سليفوفيتز,Slivovice,
Slivovika,مشروب سليفوفيتز,Slivovika,
Slivovitsa,مشروب سليفوفيتز,Slivovitsa,
Slivovitz,مشروب سليفوفيتز,Slivovitz,
Slivovka,مشروب سليفوفيكا,Slivovka,
Sljivovica,مشروب سليفوفيكا,Sljivovica,
Sloe Gin,مشروب جن سلو,Gin à la prunelle,
Sloosh,,Sloosh,
Slush,سلاشي,Slush,
Slushie,سلاشي,Slushie,
Slushy,سلاشي,Slushy,
Small Beer,بيرة صغيرة,Petite bière,
Small Bread,خبز صغير,Petit pain,
Smallmouth Buffalo,,Buffalo à petite bouche,
Smarties,سمارتيز,Smarties,
Smelt,سمك الهف,Éperlan,
Smetana,,Smetana,
Smoke Flavoring,بنكهة المدخن,Arôme de fumée,
Smoke Flavouring,بنكهة المدخن,Arôme de fumée,
Smoked,مدخن,Fumé,
Smoked Cheese,جبنة مدخنة,Fromage fumé,
Smoked Treccione,تريشيون مدخن,Treccione fumé,
Smoky Bacon,اللحم المقدد المدخن,Bacon fumé,
Snack,وجبة خفيفة,Casse croûte,
Snails,الحلزون,Escargots,
Snakehead,رأس الأفعى,Tête de serpent,
Snap Peas,بازلاء,Pois mange tout,
Snapper,السمك النهاش,Vivaneau,
Snickers,سنيكرز,Snickers,
Snipe,قنص,Bécassine,
Snow Cone,مخروط الثلج,Cône de neige,
Snow Crab,سرطان الثلج,Crabe des neiges,
Soba,سوبا,Soba,
Soba Noodles,نودلز السوبا,Nouilles soba,
Sockeye Salmon,السلمون الأحمر,Saumon Sockeye,
Soda,صودا,Soda,
Soda Alum,شب الصوديوم,Soda Alum,
Soda Bread,خبز الصودا,Pain au soda,
Soda Cracker,بسكوت الصودا المملح,Biscuit au soda,
Soda Pop,شراب صودا بوب الغازي,Soda,
Soda Water,ماء الصودا \ مياه غازية,Eau gazifiée,
Sodium,صوديوم,Sodium,
Sodium Na,صوديوم,Sodium Na,
Sodium Acetate,أسيتات الصوديوم,Acétate de sodium,
Sodium Acetate Anhydrous,خلات الصوديوم ، اللامائية,Acétate de sodium anhydre,
Sodium Acid Carbonate,كربونات أسيد الصوديوم,Carbonate d'acide de sodium,
Sodium Acid Phosphate,فوسفات أسيد الصوديوم,Phosphate d'acide de sodium,
Sodium Acid Pyrophosphate,حمض بيروفوسفات الصوديوم,Pyrophosphate acide de sodium,
Sodium Adipate,,Adipate de sodium,
Sodium Alginate,ألجينات الصوديوم,Alginate de sodium,
Sodium Aluminium Phosphate,فوسفات ألومنيوم الصوديوم,Phosphate d'aluminium sodique,
Sodium aluminium phosphate,فوسفات ألومنيوم الصوديوم,Phosphate d'aluminium de sodium,
Sodium Aluminium Phosphate Acidic,فوسفات ألومنيوم الصوديوم، حمض,Phosphate d'aluminium sodique acide,
Sodium Aluminium Phosphate Basic,فوسفات ألومنيوم الصوديوم، الأساسية,Phosphate d'aluminium sodique basique,
Sodium Aluminium Silicate,سيليكات صوديوم الألمنيوم,Silicate d'aluminium sodique,
Sodium Aluminium Sulphate,سلفات صوديوم الألمنيوم,Sulfate d'aluminium sodique,
Sodium Aluminosilicate,سيليكات الصوديوم,Aluminosilicate de sodium,
Sodium Aluminum Phosphate,فوسفات صوديوم الألمنيوم,Phosphate d'aluminium sodique,
Sodium Aluminum Phosphate Acidic,فوسفات ألومنيوم الصوديوم، حمض,Phosphate d'aluminium sodique acide,
Sodium Aluminum Phosphate Basic,فوسفات ألومنيوم الصوديوم، الأساسية,Phosphate d'aluminium sodique basique,
Sodium Aluminum Silicate,سيليكات صوديوم الألمنيوم,Silicate d'aluminium sodique,
Sodium Aluminum Sulfate,سيليكات صوديوم الألمنيوم,Sulfate d'aluminium sodique,
Sodium Ascorbate,أسكوربات الصوديوم,Ascorbate de sodium,
Sodium Benzoate,بنزوات الصوديوم,Benzoate de sodium,
Sodium Benzosulfimide,بنزوسولفيميد الصوديوم,Benzosulfimide de sodium,
Sodium Benzosulphimide,بنزوسلفيميد الصوديوم,Benzosulfure de sodium,
Sodium Bicarbonate,بيكربونات الصوديوم,Bicarbonate de sodium,
Sodium Biphosphate,ثنائي فوسفات الصوديوم,Biphosphate de sodium,
Sodium Bisulfite,بيسلفيت الصوديوم,Bisulfite de sodium,
Sodium Bisulphite,بيسلفيت الصوديوم,Bisulfite de sodium,
Sodium Calcium Aluminosilicate Hydrated,,Aluminosilicate de calcium sodique hydraté,
Sodium Calcium Silicoaluminate,سيليكومينيوم الصوديوم,Silicoaluminate de calcium sodique,
Sodium Caprate,,Caprate de sodium,
Sodium Caprylate,كابريليت الصوديوم,Caprylate de sodium,
Sodium Carbonate,كربونات الصوديوم,Carbonate de sodium,
Sodium carbonates,كربونات الصوديوم,Carbonates de sodium,
Sodium Carboxymethylcellulose,محلول كربوميثول الصوديوم,Carboxyméthylcellulose sodique,
Sodium Carrageenan,كاراجينان الصوديوم,Carraghénane sodique,
Sodium Caseinate,كازين الصوديوم,Caséinate de sodium,
Sodium Chloride,كلوريد الصوديوم,Chlorure de sodium,
Sodium Citrate,سترات الصوديوم,Citrate de sodium,
Sodium citrates,سترات الصوديوم,Citrate de sodium,
Sodium Dehydroacetate,ديهيدرو أسيتات الصوديوم,Déhydroacétate de sodium,
Sodium Diacetate,ثنائي أسيتات الصوديوم,Diacétate de sodium,
Sodium Dioctylsulfosuccinate,,Dioctylsulfosuccinate de sodium,
Sodium Dioctylsulphosuccinate,,Dioctylsulfosuccinate de sodium,
Sodium Erythorbate,إريثوربات الصوديوم,Érythorbate de sodium,
Sodium erythorbate,إريثوربين الصوديوم,Érythorbate de sodium,
Sodium Erythorbin,إريثوربين الصوديوم,Érythorbine sodique,
Sodium ethyl p hydroxybenzoate,إريثوربين الصوديوم,P hydroxybenzoate d'éthyle sodique,
Sodium Ethyl Para Hydroxybenzoate,,Parahydroxybenzoate d'éthyle sodique,
Sodium Ferric Pyrophosphate,,Pyrophosphate ferrique de sodium,
Sodium Ferrocyanide,صوديوم الفيروسيانيد,Ferrocyanure de sodium,
Sodium ferrocyanide,فيرو سيانيد الصوديوم,Ferrocyanure de sodium,
Sodium Formate,فورمات الصوديوم,Formiate de sodium,
Sodium Fumarate,فومارات الصوديوم,Fumarate de Sodium,
Sodium Gluconate,غلوكونات الصوديوم,Gluconate de sodium,
Sodium Hexametaphosphate,فوسفات الصوديوم,Hexamétaphosphate de sodium,
Sodium Hydrogen Acetate,خلات هيدروجين الصوديوم,Acétate d'hydrogène de sodium,
Sodium Hydrogen Carbonate,كربونات الصوديوم الهيدروجينية,Carbonate d'hydrogène de sodium,
Sodium Hydrogen Diacetate,هيدروجين الصوديوم ثنائي الأسيتات,Diacétate d'hydrogène de sodium,
Sodium Hydrogen Malate,,Malate d'hydrogène de sodium,
Sodium hydrogen sulphite Sodium hydrogen sulfite,كبريتيت هيدروجين الصوديوم كبريتيت هيدروجين الصوديوم,Hydrogénosulfite de sodium Hydrogénosulfite de sodium,
Sodium Hydroxide,هيدروكسيد الصوديوم,Hydroxyde de sodium,
Sodium Hypophosphite,هيبوفوسفيت الصوديوم,Hypophosphite de sodium,
Sodium Hyposulfite,هيبوسلفيت الصوديوم,Hyposulfite de sodium,
Sodium Hyposulphite,هيبوسولفيت الصوديوم,Hyposulfite de sodium,
Sodium Iron EDTA,,Fer de sodium EDTA,
Sodium Iron Pyrophosphate,بيروفوسفات حديد الصوديوم,Pyrophosphate de fer sodique,
Sodium Isoascorbate,,Isoascorbate de sodium,
Sodium Lactate,اكتات الصوديوم,Lactate de sodium,
Sodium Laurate,لوريت الصوديوم,Laurate de sodium,
Sodium Lauryl Sulfate,,Sulfate de lauryle sodique,
Sodium Lauryl Sulphate,,Sulfate de lauryle sodique,
Sodium Malate,مالات الصوديوم,Malate de sodium,
Sodium malates,,Malates de sodium,
Sodium Metabisulfite,ميتابيسلفيت الصوديوم,Métabisulfite de sodium,
Sodium Metabisulphite,بيروكبريتيت الصوديوم,Métabisulfite de sodium,
Sodium metabisulphite Sodium metabisulfite,ميتابيسلفيت الصوديوم ميتابيسلفيت الصوديوم,Métabisulfite de sodium Métabisulfite de sodium,
Sodium Metaphosphate,ميتافوسفات الصوديوم,Métaphosphate de sodium,
Sodium methyl p hydroxybenzoate,,P hydroxybenzoate de méthyle de sodium,
Sodium Methyl Para hydroxybenzoate,,Parahydroxybenzoate de méthyle sodique,
Sodium Myristate,,Myristate de sodium,
Sodium Nitrate,نترات الصوديوم,Nitrate de sodium,
Sodium Nitrite,نترات الصوديوم,Nitrite de sodium,
Sodium Oleate,أوليت الصوديوم,Oléate de sodium,
Sodium Orthophenyl Phenol,فينيل الصوديوم,Orthophénylphénol sodique,
Sodium Palmitate,بالميت الصوديوم,Palmitate de sodium,
Sodium Phosphate Dibasic,,Phosphate de sodium dibasique,
Sodium Phosphate Dibasic Dihydrate,,Phosphate de sodium dihydrate de dibasique,
Sodium Phosphate Monobasic,فوسفات الصوديوم ، أحادي القاعدة,Phosphate de sodium monobasique,
Sodium Phosphate Tribasic,,Phosphate de sodium tribasique,
Sodium phosphates,فوسفات الصوديوم,Phosphates de sodium,
Sodium Potassium Tartrate,طرطرات صوديوم البوتاسيوم,Tartrate de potassium sodique,
Sodium Propionate,بروبيونات الصوديوم,Propionate de sodium,
Sodium Propyl Para hydroxybenzoate,,Parahydroxybenzoate de propyle sodique,
Sodium Pyrophosphate Tetrabasic,بيروفوسفات الصوديوم ، رباعي الذرات,Pyrophosphate de sodium tétrabasique,
Sodium Pyrophosphate,بيروفوسفات الصوديوم,Pyrophosphate de sodium,
Sodium Saccharin,سكرين الصوديوم,Saccharine sodique,
Sodium Salts of Fatty Acida,أملاح الصوديوم من الأحماض الدهنية,Sels de sodium d'acides gras,
Sodium Sesquicarbonate,سيسكربونات الصوديوم,Sesquicarbonate de sodium,
Sodium Silicate,سيليكات الصوديوم,Silicate de sodium,
Sodium Silicoaluminate,سيليكومينيوم الصوديوم,Silicoaluminate de sodium,
Sodium Sorbate,سوربات الصوديوم,Sorbate de sodium,
Sodium Stearate,ستيرات الصوديوم,Stéarate de sodium,
Sodium Stearoyl Lactylate,,Lactylate de stéaroyle sodique,
Sodium stearoyl 2 lactylate,,Stéaroyl 2 lactylate de sodium,
Sodium Stearyl Fumarate,,Fumarate de stéaryle de sodium,
Sodium Stearyl Lactylate,ستيرل الصوديوم,Lactylate de stéaryle sodique,
Sodium Succinate,سكسينات الصوديوم,Succinat de sodium,
Sodium Sulfate,كبريتات الصوديوم,Sulfate de sodium,
Sodium Sulfite,كبريتيت الصوديوم,Sulfite de sodium,
Sodium Sulphate,كبريتات الصوديوم,Sulfate de sodium,
Sodium sulphates Sodium sulfates,كبريتات الصوديوم كبريتات الصوديوم,Sulfates de sodium Sulfates de sodium,
Sodium Sulphite,كبريتيت الصوديوم,Sulfite de sodium,
Sodium sulphite Sodium Sulfite,كبريتيت الصوديوم كبريتيت الصوديوم,Sulfite de sodium Sulfite de sodium,
Sodium Tartrate,طرطرات الصوديوم,Tartrate de sodium,
Sodium tartrates,طرطرات الصوديوم,Tartrates de sodium,
Sodium Tetraborate,رباعي الصوديوم,Tétraborate de sodium,
Sodium tetraborate Borax,رباعي الصوديوم البوراكس,Tétraborate de sodium Borax,
Sodium Tetrametaphosphate,,Tétramétaphosphate de sodium,
Sodium Thiosulfate,,Thiosulfate de sodium,
Sodium Thiosulphate,,Thiosulfate de sodium,
Sodium Triphosphate,ثلاثي فوسفات الصوديوم,Triphosphate de sodium,
Sodium Tripolyphosphate,ترايبوليفوسفيت الصوديوم,Tripolyphosphate de sodium,
Sodium Na,الصوديوم,Sodium Na,
Sodium potassium and calcium salts of fatty acids,أملاح الصوديوم والبوتاسيوم والكالسيوم للأحماض الدهنية,Sels de sodium de potassium et de calcium d'acides gras,
Soft Cheese,جبنة طرية,Fromage à pâte molle,
Softener,ملين مطري,Adoucissant,
Soju,,Soju,
Sole,,Sole,
Somen,السومن,Somen,
Somen Noodles,نودلز السومن,Nouilles Somen,
Sonti,,Sonti,
Soppressata,,Soppressata,
Sorbet,سوربيه,Sorbet,
Sorbic Acid,حمض السوربيك,Acide sorbique,
Sorbitan Ester,,Sorbitan Ester,
Sorbitan Fatty Acid Ester,,Sorbitan ester d'acide gras,
Sorbitan Monolaurate,,Monolaurate de sorbitan,
Sorbitan Monooleate,,Monooléate de sorbitan,
Sorbitan Monopalmitate,,Monopalmitate de sorbitan,
Sorbitan Monostearate,سوربيتان أحادي ستيارات,Monostéarate de sorbitan,
Sorbitan tristearate,سوربيتان ثلاثي الطبقات,Tristéarate de sorbitan,
Sorbitol,السوربيتول,Sorbitol,
Sorbitol syrup,شراب السوربيتول,Sirop de sorbitol,
Sorghum,السورغم,Sorgho,
Sorghum Oil,زيت السورغم,Huile de sorgho,
Sorghum Wine,نبيذ السورغم,Vin de sorgho,
Sorke Cheese,جبنة سورك,Fromage Sorke,
Sorprese,,Sorprese,
Sorrel,حميضة,Oseille,
Sour Cream,الكريمة الحامضة,Crème fraîche,
Sourdough Bread,,Pain au levain,
Soursop,,Corossol,
Southern Bluefin Tuna,التونة الجنوبية ذات الزعانف الزرقاء,Thon rouge du sud,
Soy Cheese,جبنة الصويا,Fromage de soja,
Soy Flour,دقيق الصويا,Farine de soja,
Soy Flour Lecithinated,دقيق الصويا ، الليسيثين,Farine de soja lécithinée,
Soy Flour Textured,,Farine de soja texturé,
Soy lecithin,ليسيثين الصويا,Lécithine de soja,
Soy Milk,حليب الصويا,Lait de soja,
Soy Oil,زيت الصويا,Huile de soja,
Soy Protein,بروتين الصويا,Protéine de soja,
Soy Protein Concentrate,مركز بروتين الصويا,Concentré de protéines de soja,
Soy Protein Isolate,,Isolat de protéine de soja,
Soy Sauce,صلصة الصويا,Sauce soja,
Soya,صويا,Soya,
Soya Bean,حبوب الصويا,Graine de soja,
Soya lecithin,,Lécithine de soja,
Soybean,فول الصويا,Soja,
Soybean Flour,حبوب الصويا,Farine de soja,
Soybean hemicellulose,,Hémicellulose de soja,
Soybean Milk,حليب حبوب الصويا,Lait de soja,
Soybean Oil,زيت حبوب الصويا,Huile de soja,
Soybean Protein,بروتين حبوب الصويا,Protéine de soja,
Soybean Protein Concentrate,مركز بروتين فول الصويا,Concentré de protéines de soja,
Soybean Protein Isolate,,Isolat de protéine de soja,
Spaghetti,باستا سباغيتي,Spaghetti,
Spaghetti Alla Chitarra,سباغيتي ألا تشيتارا,Spaghetti Alla Chitarra,
Spaghetti Squash,سباغيتي القرع,Courge spaghetti,
Spalla,,Spalla,
Spam,,Spam,
Spanish Chorizo,كوريزو الأسبانية,Chorizo espagnol,
Spanner Crab,,Clé de crabe,
Sparkling Water,مياه غازية,Eau pétillante,
Sparkling Wine,نبيذ غازي,Vin pétillant,
Spatzle,,Spatzle,
Spearmint,النعناع المدبب,Menthe verte,
Spearmint Oil,زيت النعناع,Huile de menthe verte,
Special K,رقائق سبيشال كي للفطور,Spécial k,
Speck,لحم خنزير مدخن,Grain,
Spelt,,Orthographié,
Spelt Flour,دقيق الحنطة,Farine d'épeautre,
Spice,توابل,Pimenter,
Spice Cake,كيك التوابل,Gâteau épicé,
Spice Extract,مستخلص التوابل,Extrait d'épice,
Spiced,متبل,Épicé,
Spicy,حار,Épicé,
Spinach,سبانخ,Épinard,
Spiny Lobster,جراد البحر الشوكي,Langouste,
Spirali,,Spirali,
Spiralini,,Spiralini,
Spirit Vinegar,روح الخل,Vinaigre d'esprit,
Split Peas,,Pois cassés,
Sponge Cake,كيك اسفنجي,Gateau éponge,
Spoom,مشروب السبوم,Spoom,
Sporade,مشروب الطاقة سبورايد,Sporade,
Spotted Dick,حلوى سبوتيد دِك,Dick Repéré,
Sprat,سمك الرنكة,Sprat,
Spring Onion,بصل أخضر,Oignon de printemps,
Springbok,القوقز,Springbok,
Sprite,سبرايت,Sprite,
Squash,قرع,Courge,
Squat Lobster,"سرطان البحر من نوع ""سكوات""",Homard Squat,
Squid,حبار,Calamar,
Sqwincher,,Sqwincher,
Stabilisers ,المثبتات ,Stabilisateurs,
Stabilizers ,المثبتات ,Stabilisateurs,
Staminade,,Staminade,
Stannous Chloride,,Chlorure stanneux,
Star Anise,يانسون,Anis étoilé,
Star Anise Oil,زيت اليانسون,Huile d'anis étoilé,
Star Apple,,Caïmitier,
Star Bar,,Star Bar,
Star Fruit,فاكهة النجمة,Fruit d'étoile,
Starch,نشا,Amidon,
Starch aluminium Octenyl succinate Starch aluminum Octenyl succinate,,Octenyl succinate d'amidon d'aluminium Octenyl succinate d'amidon d'aluminium,
Starch sodium octenyl succinate,,Octényl succinate de sodium d'amidon,
Starch Sodium Octenylsuccinate,,Octénylsuccinate de sodium d'amidon,
Stargazy Pie,فطيرة ستارجازي,Tarte aux étoiles,
STB,,Stabilisateurs,
Steak & Ale Pie,فطيرة الستيك والبيرة,Tourte au steak et à la bière,
Steak & Kidney Pie,فطيرة الستيك والكلى,Tourte au steak et aux rognons,
Steak & Kidney Pudding,بودينغ الستيك والكلى,Pudding au steak et aux rognons,
Steak and Ale Pie,فطيرة الستيك والبيرة,Tourte au steak et à la bière,
Steak and Kidney Pie,فطيرة الستيك والكلى,Tourte au steak et aux rognons,
Steak and Kidney Pudding,بودينغ الستيك والكلى,Pudding au steak et aux rognons,
Steak Pie,فطيرة ستيك,Tourte au steak,
Steamed,مطبوخ بالبخار,À la vapeur,
Stearic Acid,حامض دهني,Acide stéarique,
Stearyl Citrate,سيتريل السترات,Citrate de stéaryle,
Stearyl Lactylate,ستيريل لاكتيلات,Lactylate de stéaryle,
Stearyl Monoglyceridyl Citrate,,Stéaryl monoglycéridyl citrate,
Stearyl Propylene Glycol Hydrogen Succinate,,Succinate d'hydrogène stéarylpropylène glycol,
Stearyl Tartarate,,Tartarate de stéaryle,
Stearyl tartrate,,Tartrate de stéaryle,
Steel Cut Oats,شوفان غير معالج,Avoine acier,
Steelhead,سمك ستيلهيد,Truite steelhead,
Stelle,,Stelle,
Sterculia Gum,,Sterculia Gum,
Stevia,محلي ستيفيا الصناعي,Stevia,
Stevia Extract,مستخلص محلي ستيفيا الصناعي,Extrait de stévia,
Steviol glycoside,,Steviol glycoside,
Steviol Glycosides,,Glycosides de stéviol,
Stevioside,,Stévioside,
Sticky Toffee Pudding,بودينغ التوفي,Pudding au caramel collant,
Stigmasterol rich plant sterols,,Stérols riches en stigmastérol,
Stilton Cheese,جبن ستيلتون,Fromage Stilton,
Stock Ale,,Stock ale,
Stock Cube,مكعب مرقة,Cube de stock,
Stone Crab,سلطعون الحجر,Crabe de pierre,
Stortini,,Stortini,
Stout,بيرة ستاوت,Bière,
Straight Flour,دقيق خالص دقيق نقي,Farine droite,
Strapponi,باستا سترابوني,Strapponi,
Strawberry,فراولة,Fraise,
Strawberry Pie,فطيرة الفراولة,Tarte à la fraise,
Strawberry Tart,تارت الفراولة,Tarte aux fraises,
String Hopper Noodles,نودلز سترينج هوبر,Nouilles à trémie,
String Hoppers,سترينج هوبرز,Trémies à cordes,
Stringozzi,باستا سترينجوزي,Stringozzi,
Striped Albacore,سمك التونا المخطط,Germon rayé,
Striped Bass,سمك القاروس المخطط,Basse rayée,
Strozzapreti,باستا ستروزابريتي,Strozzapreti,
Stuffing,حشوة,Rembourrage,
Sturgeon,سمك الحفش,Esturgeon,
Sturgeon Roe,سمك الحفش,Œufs d'esturgeon,
Su Filindeu,,Su Filindeu,
Succinic Acid,حمض السكسينيك,Acide succinique,
Succinic Anhydride,,Anhydride succinique,
Succinylated Monoglycerides,أحادي الغليسريد,Monoglycérides succinylés,
Succistearin,,Succistéarine,
Sucralose,السكرالوز,Sucralose,
Sucrase,,Sucrase,
Sucroglycerides,السكروز,Sucroglycérides,
Sucromalt,سوكرومالت,Sucromalt,
Sucrose,سكروز,Saccharose,
Sucrose Acetate Isobutyrate,,Isobutyrate d'acétate de saccharose,
Sucrose acetate isobutyrate,,Acétate d'isobutyrate de saccharose,
Sucrose Esters of Fatty Acids,استرات السكروز من الأحماض الدهنية,Esters de saccharose d'acides gras,
Sucrose esters of fatty acids,استرات السكروز من الأحماض الدهنية,Saccharose esters d'acides gras,
Sucrose Fatty Acid Esters,سكروز استرات الأحماض الدهنية,Esters d'acides gras de saccharose,
Sucuk,سجق,Sucuk,
Sudjuk,سجق,Sudjuk,
Sudzhuk,سجق,Sudzhuk,
Sudzuk,سجق,Sudzuk,
Suet Crust Pastry,معجنات الشحم,Suet croûte de pâtisserie,
Suet Pudding,بودنغ الشحم,Pudding de Suet,
Sugar,سكر,Sucre,
Sugar Beet Extract Flavor Base,نكهة خلاصة سكر الشمندر,Base de saveur d'extrait de betterave à sucre,
Sugar Beet Extract Flavour Base,نكهة خلاصة سكر الشمندر,Base de saveur d'extrait de betterave à sucre,
Sugar Cream Pie,فطيرة السكر بالكريمة,Tarte au sucre,
Sugar Pie,فطيرة السكر,Tarte au sucre,
Sugar Puffs,شوجار بافس,Bouffées de sucre,
Sugar Syrup,شراب السكر,Sirop de sucre,
Sugar Syrup Invert,شراب السكر، محول,Sirop de sucre inverser,
Sugar Wine,نبيذ السكر,Vin de sucre,
Sugar Brown,سكر، بني,Sucre brun,
Sugar Fruit,سكر، الفاكهة,Sucre de fruit,
Sugar Natural,سكر، طبيعي,Sucre naturel,
Sugar Powdered,سكر، بودرة,Sucre en poudre,
Sugar Raw,سكر، خام,Sucre brut,
Sugar Reducing,السكر، المخفض,Sucre réducteur,
Sugar Superfine,السكر، الناعم,Sucre superfin,
Sugar Washed Raw,السكر، الخام,Sucre cru lavé,
Sugarcane,قصب سكر,Canne à sucre,
Sugarcane Juice,عصير قصب السكر,Jus de canne à sucre,
Sugared,مُسكّر,Sucré,
Sugars,سكريات,Sucres,
Sugars total,سكريات، مجموع,Sucres total,
Sujuk,سجق,Sujuk,
Sukuti,,Sukuti,
Sulfate,سلفات,Sulfate,
Sulfite ammonia caramel Sulphite ammonia caramel,,Sulfite ammoniac caramel Sulfite ammoniac caramel,
Sulfur Dioxide,ثاني أكسيد الكبريت,Dioxyde de soufre,
Sulfuric Acid,حمض الكبريتيك,Acide sulfurique,
Sulphate,كبريتات,Sulfate,
Sulphur Dioxde,ثاني أكسيد الكبريت,Dioxyde de soufre,
Sulphur dioxide Sulfur dioxide,ثاني أكسيد الكبريت ثاني أكسيد الكبريت,Anhydride sulfureux Anhydride sulfureux,
Sulphuric Acid,حامض الكبريتيك,Acide sulfurique,
Sulphuric acid Sulfuric acid,حمض الكبريتيك حامض الكبريتيك,Acide sulfurique Acide sulfurique,
Sultanas,,Sultanes,
Sumac,سماق,Sumac,
Sumach,سماق,Sumac,
Sumaq,سماق,Sumaq,
Summer Pudding,بودينغ الصيف بالفاكهة,Pudding d'été,
Summer Savory,,Sarriette d'été,
Sun Dried Tomatoes,طماطم مجففة,Tomates séchées,
Sunchoke,,Sunchoke,
Sunflower,زهرة دوار الشمس,Tournesol,
Sunflower fat,دهن زهرة دوار الشمس,Graisse de tournesol,
Sunflower Oil,زيت زهرة دوار الشمس,Huile de tournesol,
Sunflower Seed,بذور زهرة دوار الشمس,Graines de tournesol,
Sunroot,,Sunroot,
Sunset Yellow FCF,,Coucher de soleil FCF,
Sunset Yellow FCF Orange Yellow S,,Coucher de soleil FCF Orange Jaune S,
Superfine Sugar,سكر ناعم,Sucre très fin,
Surf Clam,محار,Palourde,
Surface Active Agents,,Agents tensioactifs,
Surface Finishing Agents,,Agents de finition de surface,
Surimi,,Surimi,
Surinam Cherry,,Cerisier surinam,
Surke Cheese,شنكليش,Fromage Surke,
Sussex Pond Pudding,,Pudding Sussex Pond,
SWE,صلصة الحلو الحامض,Édulcorants,
Sweet and Sour Sauce,الريحان الحلو,Sauce aigre douce,
Sweet Basil,الفلفل الحلو الحار,Basilic doux,
Sweet Chili Pepper,صلصة الحلو الحار,Piment doux,
Sweet Chilli Sauce,ذرة حلوة,Sauce chili douce,
Sweet Corn,فلفل حلو,Maïs sucré,
Sweet Pepper,بطاطا حلوة,Poivron,
Sweet Potato,فطيرة البطاطا الحلوة,Patate douce,
Sweet Potato Pie,,Tarte aux patates douces,
Sweet Relish,دقيق الأرز الحلو,Relish sucrée,
Sweet Rice Flour,,Douce farine de riz,
Sweet Woodruff,ذرة حلوة,Aspérule,
Sweetcorn,مُحلّى,Maïs sucré,
Sweetened,حليب مكثف مُحلّى,Sucré,
Sweetened condensed milk,مُُحلّي,Lait concentré sucré,
Sweetener,مُحلّيات,Édulcorant,
Sweeteners ,مُحلّيات,Édulcorants,
Swiss Cheese,جبنة سويسرية,Fromage suisse,
Swiss Roll,سويس رول,Rouleau suisse,
Swordfish,سمك أبو سيف,Espadon,
Syllabub,,Syllabub,
Synthetic Glycerin Produced by Hydrogenolysis of Carbohydrates,,Glycérine synthétique produite par hydrogénolyse de glucides,
Synthetic Petroleum Wax,شمع بترولي صناعي,Cire de pétrole synthétique,
Syrian Bread,خبز سوري,Pain syrien,
Syrian Cheese,جبنة سورية,Fromage syrien,
Szechuan Pepper,فلفل سيشوان,Poivre Szechuan,
T Bone Steak,,Bifteck d'aloyau,
Tabasco Pepper,حر التباسكو,Poivre Tabasco,
Tabasco Sauce,صلصة التباسكو,Sauce Tabasco,
Table Salt,ملح الطعام,Sel de table,
Table Wine,نبيذ,Vin de table,
Taco Cheese,جبنة التاكو,Fromage taco,
Taco Cheese Blend,مزيج جبنة التاكو,Mélange de fromage Taco,
Tagliatelle,باستا تاجلياتيل,Tagliatelles,
Taglierini,باستا تاجليريني,Taglierini,
Tahini,طحينة,Tahini,
Talc,التالك,Talc,
Talin,بروتين التالين,Talin,
Tallow,دهن,Suif,
Tamari,صلصة التماري,Tamari,
Tamarillo,طماطم شجري,Tamarillo,
Tamarind,تمر هندي,Tamarin,
Tanacetum Balsamita,,Tanacetum Balsamita,
Tandoori Masala,تندوري مسالا,Tandoori Masala,
Tangerine,يوسفي,Mandarine,
Tangerine Oil,زيت اليوسفي,Huile de mandarine,
Tannins,العفص,Tanins,
Tapioca,التابيوكا,Tapioca,
Tapioca Flour,طحين التابيوكا,Farine de tapioca,
Tapioca Starch,نشا التابيوكا,Amidon de tapioca,
Tara Gum,صمغ تارا,Gomme de tara,
Tare Sauce,صلصة تاري,Sauce Tare,
Taro,القلقاس,Taro,
Tarragon,طرخون,Estragon,
Tart,تارت,Tarte,
Tartar Sauce,صلصة التارتار,Sauce tartare,
Tartaric Acid,حمض التارتاريك,Acide tartrique,
Tartaric acid L +,حمض التارتاريك,Acide tartrique L +,
Tartaric Acid Esters of Mono and Diglycerides of Fatty Acids,,Esters d'acide tartrique de mono et diglycérides d'acides gras,
Tartaric acid esters of mono and diglycerides of fatty acids,,Esters d'acide tartrique de mono et diglycérides d'acides gras,
Tarte Flambee,,Tarte flambée,
Tartlet,تارت صغير,Tartelette,
Tartrazine,لون أصفر صناعي,Tartrazine,
Tasso Ham,لحم تاسو خنزير,Jambon tasso,
Tat Soi,,Tatsoi,
Tatsoi,,Tatsoi,
TBHQ,,Butylhydroquinone tertiaire,
TDS,,Solides totaux dissous,
Tea,شاي,Thé,
Tea Oil,زيت الشاي,Huile de thé,
Tea Seed Oil,زيت بذرة الشاي,Huile de graines de thé,
Tears of Chios,المستكة,Larmes de Chios,
Tej,نبيذ تيج,Tej,
Tembo,,Tembo,
Tempeh,,Tempeh,
Tennessee Whiskey,,Tennessee Whiskey,
Tepache,,Tépache,
Tequilla,تيكيلا,Tequilla,
Terpene Resin,,Résine terpène,
Terry's Chocolate Orange,,Terry's Chocolate Orange,
Tert butylhydroquinone,,Tert butylhydroquinone,
Tertiary Butylhydroquinone,,Butylhydroquinone tertiaire,
Tertiary butyl hydroquinone TBHQ,,Hydroquinone tertiaire butyle HQTB,
Tescovina,,Tescovina,
